zettaicode,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00034382,,8.7,8.5,9.0,8.2,8.4,8.3,8.8,8.4,8.5,8.0,8.4,8.7,8.7,7.0,8.8,8.7,9.0,8.4,8.1,7.7,8.6,6.8,8.4,8.7,9.6,8.9,8.5,8.1,8.2,8.3,,8.5,8.0,8.6,7.2,8.6,8.6,8.2,8.3,8.3,8.7,9.3
00034390,8.2,7.6,7.2,6.5,6.4,6.6,7.0,7.2,7.3,6.6,6.2,6.5,6.4,7.5,5.7,7.4,6.8,7.6,8.0,8.1,8.6,7.5,7.6,7.4,6.4,7.6,7.1,6.1,7.1,6.8,6.1,,6.7,7.5,6.7,6.5,6.5,6.4,6.6,6.3,6.3,8.0,5.7
00034391,9.2,8.5,8.6,9.4,7.9,8.4,8.5,8.8,8.5,8.4,8.0,8.4,8.2,8.8,6.9,8.9,8.2,9.0,8.0,8.4,8.6,8.3,8.6,8.2,8.6,8.4,8.1,8.3,8.5,8.4,8.1,,8.7,8.5,8.7,7.9,8.4,8.5,8.9,8.8,8.8,9.0,8.5
00034396,6.8,8.1,7.0,7.2,5.9,6.7,7.5,7.6,6.7,6.8,6.2,7.4,8.2,7.5,5.5,7.6,7.0,8.0,8.0,7.7,7.7,7.0,6.9,6.6,7.6,6.5,6.8,7.1,7.5,7.1,6.5,7.3,7.4,7.7,7.4,6.0,7.3,7.1,7.3,7.1,7.1,7.7,6.6
00034399,8.8,8.6,8.8,8.5,7.6,8.2,8.3,8.2,8.1,8.2,8.5,8.1,8.2,8.9,7.0,9.0,8.1,8.4,7.6,8.6,8.5,8.3,8.6,8.1,8.3,8.1,7.9,7.7,8.2,8.3,7.9,8.5,8.3,8.6,8.2,7.7,8.4,8.3,8.6,8.4,8.4,8.7,8.2
00034411,8.3,7.7,7.9,8.2,7.3,7.9,8.2,8.0,7.5,7.4,7.4,7.8,7.8,7.5,6.5,8.6,8.4,8.3,7.8,8.2,8.0,7.4,7.8,7.4,7.9,6.2,7.5,7.5,7.3,7.7,7.6,7.7,7.4,8.3,7.9,7.7,8.4,7.6,7.7,8.0,8.0,8.1,7.6
00034423,8.4,8.3,7.8,8.1,7.3,7.5,8.3,8.0,7.9,7.7,8.0,8.2,7.4,7.5,7.0,9.1,8.0,8.6,7.2,8.3,8.5,6.8,7.3,7.3,8.3,7.4,7.0,6.8,8.1,6.2,7.9,7.3,7.1,7.7,7.3,6.9,7.6,7.8,7.2,7.7,7.7,7.5,7.4
00035412,8.7,9.1,8.6,8.9,8.2,8.1,8.5,8.4,8.5,8.4,8.4,8.6,8.5,8.7,8.9,8.9,9.4,9.2,8.7,8.9,9.1,8.0,9.1,8.7,8.7,9.1,9.7,8.9,8.8,8.7,9.3,,9.3,8.6,8.9,8.7,8.6,8.7,9.5,8.9,10.0,10.0,9.3
00035426,8.3,9.2,8.6,8.8,8.1,8.4,8.8,8.1,8.0,8.3,8.3,9.0,8.2,8.2,8.4,8.7,9.4,8.7,8.4,8.8,10.0,9.0,9.7,8.7,8.5,9.3,9.3,8.9,8.9,8.2,9.3,,9.4,8.9,8.9,7.9,8.8,9.2,9.6,9.2,8.9,9.2,8.8
00035433,8.9,9.4,8.7,9.0,8.5,8.5,8.7,8.3,8.2,8.6,7.8,8.9,9.5,9.0,9.2,9.1,10.0,9.1,8.5,8.9,9.9,9.6,8.9,8.2,8.9,8.9,9.4,9.3,8.4,7.2,9.0,,9.0,8.4,8.6,8.3,8.5,9.3,8.5,8.3,9.3,8.7,8.4
