zettaicode,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00035486,6.9,7.5,7.1,6.7,7.0,7.2,6.7,6.4,6.8,7.1,7.5,7.4,6.8,7.3,7.7,7.0,7.3,6.9,7.2,7.1,7.6,7.1,7.0,6.9,6.3,7.2,6.9,8.0,7.6,7.1,7.0,,7.6,7.5,7.7,8.2,7.9,7.3,7.9,7.5,7.9,,8.3
00035487,,7.5,0.0,7.0,6.0,7.0,6.7,6.9,6.8,7.2,7.3,7.0,6.4,7.4,7.4,7.0,8.0,7.1,7.4,7.2,7.6,6.9,7.1,7.5,7.1,6.6,7.0,7.1,7.6,6.7,6.9,,7.1,7.3,7.1,7.3,7.5,7.0,7.7,7.4,7.0,,7.3
00035498,7.2,7.5,6.9,6.8,6.7,7.5,6.6,6.6,6.8,7.6,7.3,6.7,6.9,7.1,7.4,7.3,7.4,7.1,7.4,7.2,7.6,7.3,7.1,7.4,6.9,7.8,7.0,7.2,7.0,8.0,7.5,,7.5,7.5,7.2,7.6,7.7,8.4,7.5,7.2,6.5,,7.4
00035509,7.1,7.7,6.6,7.2,6.2,7.0,6.7,7.1,6.8,7.1,7.3,7.0,6.3,7.0,7.7,7.0,7.3,6.4,6.4,7.4,7.4,7.7,7.1,7.7,6.6,6.2,6.9,7.0,7.5,6.9,7.3,,7.3,7.6,7.6,7.6,7.9,6.9,8.0,7.4,7.3,,7.3
00035512,6.9,7.1,6.9,6.9,6.3,7.6,6.7,7.2,6.6,7.1,6.7,6.9,6.0,7.2,7.6,6.9,7.6,7.2,7.0,7.2,7.7,7.1,7.0,7.2,6.7,6.1,6.9,7.0,7.1,7.6,7.1,,6.9,7.2,7.2,8.3,7.4,7.2,8.5,7.4,5.9,,7.7
00035521,7.1,7.4,7.4,7.1,7.4,7.3,6.7,7.1,6.9,7.7,7.5,7.8,7.2,6.8,7.4,6.3,7.3,6.5,7.1,6.8,7.8,7.1,6.9,6.6,5.8,7.1,6.9,7.1,7.1,9.0,6.9,,7.6,7.6,7.3,8.0,7.2,8.0,7.7,7.2,7.0,,7.3
00035522,6.8,7.1,7.2,6.8,7.2,7.0,6.5,6.6,6.7,7.1,7.6,7.1,6.1,8.8,7.4,6.7,7.6,6.7,4.5,7.0,7.3,7.1,6.9,7.3,6.5,5.8,6.7,7.5,7.1,7.6,7.1,,7.3,8.3,7.6,8.2,7.3,7.5,8.7,7.6,5.6,,7.4
00035542,6.9,7.2,6.7,6.6,6.6,7.1,6.6,6.9,6.3,6.9,7.4,7.4,7.3,7.4,6.9,6.8,7.8,6.6,7.1,7.1,7.3,5.2,7.5,7.3,6.8,7.4,6.4,7.2,6.7,6.8,7.1,,6.4,7.4,7.0,6.4,7.2,7.5,7.2,6.2,7.0,,7.5
00035550,7.1,7.9,7.6,6.2,7.0,6.9,6.6,7.0,7.2,8.2,7.8,7.8,7.6,7.1,7.6,7.2,7.7,5.7,7.4,7.6,7.2,6.6,6.7,7.2,7.1,8.1,7.1,7.3,8.7,7.1,6.9,,6.7,7.6,7.2,7.0,6.8,7.8,8.4,7.4,6.4,,7.1
00035562,7.0,8.0,6.9,6.7,7.1,7.0,6.6,6.9,7.0,8.3,7.8,7.4,7.3,7.1,7.3,7.3,7.4,6.3,7.0,7.1,7.6,7.6,6.8,7.1,6.6,7.2,6.8,6.8,7.4,6.6,7.0,,6.5,7.5,7.1,6.3,7.3,8.0,6.6,6.7,6.8,,7.2
00035565,6.8,7.2,7.7,6.8,7.3,6.5,6.5,7.2,6.0,6.9,7.3,7.4,6.6,6.8,7.3,6.9,7.9,6.5,7.4,6.6,7.7,7.2,7.0,7.4,6.4,8.0,7.3,7.2,7.5,7.3,7.3,,6.6,7.0,7.3,7.0,7.1,7.9,7.0,5.6,6.6,,7.8
00035582,7.0,7.3,8.8,6.7,6.8,7.8,6.5,6.7,7.0,8.0,8.2,7.6,7.6,7.4,7.0,7.1,8.1,7.1,7.2,7.0,7.7,7.2,7.1,6.9,6.6,7.7,7.0,6.9,7.6,7.0,7.4,,6.2,7.8,7.1,6.4,7.2,8.5,6.7,6.9,6.9,,7.6
00035588,7.5,7.6,7.6,7.1,7.3,7.5,6.8,6.8,7.0,8.4,8.5,7.6,8.0,6.9,7.4,7.8,7.8,6.8,7.8,7.7,7.4,7.1,7.1,7.4,7.4,7.9,7.5,7.4,8.3,7.5,7.2,,6.7,7.8,7.4,6.8,7.5,7.7,7.2,7.1,7.4,,7.9
00035598,7.2,7.2,7.3,6.7,7.1,7.0,6.8,6.3,7.3,7.6,7.9,7.3,7.7,6.8,7.3,7.0,7.6,7.1,6.9,7.3,7.2,7.6,7.0,6.9,6.6,8.0,7.4,7.2,7.3,7.1,7.2,,6.6,7.3,7.3,4.7,7.3,8.5,8.1,5.3,6.7,,7.6
00035613,6.4,7.7,6.8,7.0,7.2,6.3,6.9,6.6,7.3,7.2,7.8,7.4,8.0,6.9,7.3,7.5,8.0,7.2,7.1,7.1,7.7,7.3,6.9,7.7,6.7,7.5,7.7,7.5,8.6,7.4,7.7,,7.0,8.0,7.4,6.3,7.3,8.1,8.2,7.0,7.9,,7.9
00035626,7.4,6.7,7.7,6.8,6.6,7.5,7.2,7.7,7.5,7.3,8.0,7.3,7.9,7.1,8.2,8.4,8.4,7.0,7.2,7.4,7.9,7.3,7.2,8.1,7.7,7.9,8.0,7.8,8.1,7.2,8.0,,6.4,8.8,8.1,8.0,7.3,8.4,8.7,7.0,7.6,,8.6
00035707,6.7,7.0,5.8,5.9,6.7,6.7,6.1,7.2,6.9,6.7,6.3,7.2,7.6,7.1,7.0,6.9,7.9,7.0,7.4,7.4,7.4,7.2,6.9,8.2,7.4,7.4,7.0,7.8,7.5,7.5,7.2,,6.4,7.4,6.7,7.3,7.4,8.0,7.6,6.9,7.6,,7.5
00036103,7.3,6.8,6.4,6.9,5.9,6.8,6.5,6.4,6.3,6.5,6.0,6.1,6.4,6.2,6.2,6.8,6.8,6.9,6.3,6.8,6.6,6.8,7.0,,6.9,6.8,6.4,6.4,6.4,5.9,6.4,,6.6,6.5,6.6,6.4,6.5,6.5,7.0,,6.2,6.5,6.5
00036110,7.5,6.3,6.6,7.1,5.6,6.8,7.1,6.6,6.1,5.9,6.0,4.9,5.8,6.4,6.8,7.1,7.5,6.6,6.2,7.5,7.0,6.5,,,7.9,6.5,6.5,6.4,6.0,5.9,6.6,,6.6,5.8,6.6,6.5,6.4,6.4,6.8,,6.3,7.0,6.6
00036147,7.6,6.7,6.2,6.9,6.0,6.9,6.6,6.4,6.2,6.5,6.0,6.2,6.3,6.1,6.2,6.6,6.9,6.7,6.0,6.6,6.4,6.7,,,7.0,6.9,6.4,6.4,6.5,5.9,6.4,,6.6,6.7,6.6,6.5,6.6,6.7,7.0,,6.1,6.6,6.6
00036164,8.1,6.9,6.4,7.0,5.8,7.4,6.5,6.5,5.9,6.2,6.1,6.3,5.8,6.2,5.9,6.4,7.2,6.5,5.6,7.0,7.0,6.4,,,6.8,,5.9,6.0,6.8,5.9,5.4,,6.4,6.7,6.4,6.1,5.8,4.9,6.9,,5.5,6.0,6.6
00037170,7.7,8.5,6.5,7.7,6.5,7.6,6.6,6.1,3.8,6.4,6.7,6.3,5.9,6.0,6.0,6.9,6.7,6.3,6.5,7.1,6.8,6.4,6.6,6.3,6.6,7.1,6.1,6.3,6.4,6.6,7.0,,9.2,7.0,7.0,6.8,6.4,6.2,7.0,7.1,6.4,6.8,5.4
00037179,8.5,8.7,6.2,7.8,6.4,7.4,6.9,6.5,6.1,6.3,6.6,5.9,6.4,5.9,5.8,6.6,6.9,6.5,6.5,6.9,6.7,6.5,6.6,5.9,6.4,7.0,6.3,5.6,6.5,8.0,7.0,,10.5,6.9,7.5,6.7,6.2,6.5,6.8,7.1,6.7,6.6,5.1
